technology,component,year,value,unit,currency,currency_year,capacity,capacity_unit,scope,series,derived,context,source,url,note
PHS,energy,1983,280.66280205306833,USD/kWh,USD,2015,550.1322579279279,GWh,system,schmidt2018:pumped-hydro-utility-1,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). derived from the power series with a constant C-rate (15.2 kW per kWh); not independent data"
PHS,energy,1988,276.55297003866787,USD/kWh,USD,2015,783.5180268018017,GWh,system,schmidt2018:pumped-hydro-utility-1,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). derived from the power series with a constant C-rate (15.2 kW per kWh); not independent data"
PHS,energy,1993,275.95846109653803,USD/kWh,USD,2015,825.0004549549549,GWh,system,schmidt2018:pumped-hydro-utility-1,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). derived from the power series with a constant C-rate (15.2 kW per kWh); not independent data"
PHS,energy,1998,274.24391688684807,USD/kWh,USD,2015,957.6562983333331,GWh,system,schmidt2018:pumped-hydro-utility-1,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). derived from the power series with a constant C-rate (15.2 kW per kWh); not independent data"
PHS,energy,2003,308.0050951196609,USD/kWh,USD,2015,1052.9618816666666,GWh,system,schmidt2018:pumped-hydro-utility-1,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). derived from the power series with a constant C-rate (15.2 kW per kWh); not independent data"
PHS,energy,2008,276.33952605087876,USD/kWh,USD,2015,1188.7311827927927,GWh,system,schmidt2018:pumped-hydro-utility-1,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). derived from the power series with a constant C-rate (15.2 kW per kWh); not independent data"
PHS,energy,2013,280.75570249032285,USD/kWh,USD,2015,1388.7935607139639,GWh,system,schmidt2018:pumped-hydro-utility-1,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). derived from the power series with a constant C-rate (15.2 kW per kWh); not independent data"
PHS,power,1983,4264.446057060509,USD/kW,USD,2015,56.81096,GW,system,schmidt2018:pumped-hydro-utility-1,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). capacity: [1] Sandia National Laboratories. DOE Global Energy Storage Database. (2015). Available at: http://www.energystorageexchange.org/. (Accessed: 30th January 2016). price: [2] Projected Costs of Generating Electricity - Update 2005. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2005). : page 31; [3] Projected Costs of Generating Electricity - 2010 Update. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2010). : page 62; [4] Projected Costs of Generating Electricity - 2015 Edition. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2015). : page 45; [5] Jamasb, T. Technical Change Theory and Learning Curves: Patterns of Progress in Electricity Generation Technologies. Energy J. 28, 51–71 (2007). : page 60 - 62"
PHS,power,1988,4202.000457569639,USD/kW,USD,2015,80.9122,GW,system,schmidt2018:pumped-hydro-utility-1,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). capacity: [1] Sandia National Laboratories. DOE Global Energy Storage Database. (2015). Available at: http://www.energystorageexchange.org/. (Accessed: 30th January 2016). price: [2] Projected Costs of Generating Electricity - Update 2005. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2005). : page 31; [3] Projected Costs of Generating Electricity - 2010 Update. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2010). : page 62; [4] Projected Costs of Generating Electricity - 2015 Edition. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2015). : page 45; [5] Jamasb, T. Technical Change Theory and Learning Curves: Patterns of Progress in Electricity Generation Technologies. Energy J. 28, 51–71 (2007). : page 60 - 62"
PHS,power,1993,4192.967371262486,USD/kW,USD,2015,85.196,GW,system,schmidt2018:pumped-hydro-utility-1,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). capacity: [1] Sandia National Laboratories. DOE Global Energy Storage Database. (2015). Available at: http://www.energystorageexchange.org/. (Accessed: 30th January 2016). price: [2] Projected Costs of Generating Electricity - Update 2005. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2005). : page 31; [3] Projected Costs of Generating Electricity - 2010 Update. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2010). : page 62; [4] Projected Costs of Generating Electricity - 2015 Edition. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2015). : page 45; [5] Jamasb, T. Technical Change Theory and Learning Curves: Patterns of Progress in Electricity Generation Technologies. Energy J. 28, 51–71 (2007). : page 60 - 62"
PHS,power,1998,4166.916247846118,USD/kW,USD,2015,98.89508,GW,system,schmidt2018:pumped-hydro-utility-1,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). capacity: [1] Sandia National Laboratories. DOE Global Energy Storage Database. (2015). Available at: http://www.energystorageexchange.org/. (Accessed: 30th January 2016). price: [2] Projected Costs of Generating Electricity - Update 2005. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2005). : page 31; [3] Projected Costs of Generating Electricity - 2010 Update. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2010). : page 62; [4] Projected Costs of Generating Electricity - 2015 Edition. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2015). : page 45; [5] Jamasb, T. Technical Change Theory and Learning Curves: Patterns of Progress in Electricity Generation Technologies. Energy J. 28, 51–71 (2007). : page 60 - 62"
PHS,power,2003,4679.890259163132,USD/kW,USD,2015,108.73708,GW,system,schmidt2018:pumped-hydro-utility-1,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). capacity: [1] Sandia National Laboratories. DOE Global Energy Storage Database. (2015). Available at: http://www.energystorageexchange.org/. (Accessed: 30th January 2016). price: [2] Projected Costs of Generating Electricity - Update 2005. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2005). : page 31; [3] Projected Costs of Generating Electricity - 2010 Update. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2010). : page 62; [4] Projected Costs of Generating Electricity - 2015 Edition. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2015). : page 45; [5] Jamasb, T. Technical Change Theory and Learning Curves: Patterns of Progress in Electricity Generation Technologies. Energy J. 28, 51–71 (2007). : page 60 - 62"
PHS,power,2008,4198.757347455038,USD/kW,USD,2015,122.75768,GW,system,schmidt2018:pumped-hydro-utility-1,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). capacity: [1] Sandia National Laboratories. DOE Global Energy Storage Database. (2015). Available at: http://www.energystorageexchange.org/. (Accessed: 30th January 2016). price: [2] Projected Costs of Generating Electricity - Update 2005. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2005). : page 31; [3] Projected Costs of Generating Electricity - 2010 Update. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2010). : page 62; [4] Projected Costs of Generating Electricity - 2015 Edition. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2015). : page 45; [5] Jamasb, T. Technical Change Theory and Learning Curves: Patterns of Progress in Electricity Generation Technologies. Energy J. 28, 51–71 (2007). : page 60 - 62"
PHS,power,2013,4265.857604655884,USD/kW,USD,2015,143.417686,GW,system,schmidt2018:pumped-hydro-utility-1,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Pumped hydro (Utility, -1±8%). capacity: [1] Sandia National Laboratories. DOE Global Energy Storage Database. (2015). Available at: http://www.energystorageexchange.org/. (Accessed: 30th January 2016). price: [2] Projected Costs of Generating Electricity - Update 2005. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2005). : page 31; [3] Projected Costs of Generating Electricity - 2010 Update. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2010). : page 62; [4] Projected Costs of Generating Electricity - 2015 Edition. (International Energy Agency/Nuclear Energy Agency/Organisation for Economic Co-Operation and Development, 2015). : page 45; [5] Jamasb, T. Technical Change Theory and Learning Curves: Patterns of Progress in Electricity Generation Technologies. Energy J. 28, 51–71 (2007). : page 60 - 62"
,energy,1989,156.9046440049293,USD/kWh,USD,2015,1971.374845586572,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,1991,152.25637823444902,USD/kWh,USD,2015,2306.0576054577773,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,1992,168.12067209054342,USD/kWh,USD,2015,2533.5572154821803,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,1993,173.17001795538962,USD/kWh,USD,2015,2867.4418357968752,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,1995,169.93174352967054,USD/kWh,USD,2015,3283.0423288493253,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,1996,157.73880431997972,USD/kWh,USD,2015,3577.2787835059357,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,1997,152.65575508932596,USD/kWh,USD,2015,3923.706368701142,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,1998,152.18861813010352,USD/kWh,USD,2015,4296.584526168403,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,1999,139.30861396440238,USD/kWh,USD,2015,4529.628915348555,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2000,136.47863342869408,USD/kWh,USD,2015,4895.022235581268,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2002,128.19256253880093,USD/kWh,USD,2015,5485.5156408173525,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2003,139.73236309211987,USD/kWh,USD,2015,5859.917990945568,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2004,139.30257756410575,USD/kWh,USD,2015,6427.39885053227,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2005,130.77342976564896,USD/kWh,USD,2015,6798.4235656057235,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2006,127.8194167981711,USD/kWh,USD,2015,7444.492209540544,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2007,134.044715550542,USD/kWh,USD,2015,8098.312517034279,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2008,149.26270756053788,USD/kWh,USD,2015,8246.694464185199,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2009,167.68149657740773,USD/kWh,USD,2015,8370.11784492147,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2010,168.6978391923514,USD/kWh,USD,2015,8867.912371404998,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2011,153.22992221342037,USD/kWh,USD,2015,9395.312143022256,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,energy,2012,156.48490439877503,USD/kWh,USD,2015,10390.565539267482,GWh,,schmidt2018:lead-acid-multiple-4,False,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). capacity: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75. price: [6] Matteson, S. & Williams, E. Residual learning rates in lead-acid batteries: Effects on emerging technologies. Energy Policy 85, 71–79 (2015). : page 75"
,power,1989,738.3747953173145,USD/kW,USD,2015,418.91715468714654,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,1991,716.5006034562307,USD/kW,USD,2015,490.03724115977764,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,1992,791.1561039554985,USD/kW,USD,2015,538.3809082899633,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,1993,814.9177315547747,USD/kW,USD,2015,609.331390106836,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,1995,799.6787930808026,USD/kW,USD,2015,697.6464948804816,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,1996,742.300255623434,USD/kW,USD,2015,760.1717414950114,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,1997,718.3800239497692,USD/kW,USD,2015,833.7876033489927,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,1998,716.1817323769577,USD/kW,USD,2015,913.0242118107856,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,1999,655.569948067776,USD/kW,USD,2015,962.546144511568,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,2000,642.2523926056192,USD/kW,USD,2015,1040.1922250610196,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,2002,603.2591178296515,USD/kW,USD,2015,1165.6720736736875,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,2003,657.5640616099759,USD/kW,USD,2015,1245.2325730759333,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
,power,2004,655.5415414781447,USD/kW,USD,2015,1365.8222557381075,GW,,schmidt2018:lead-acid-multiple-4,True,False,"Schmidt, Hawkes, Gambhir & Staffell, Nat. Energy 2017, dataset update 2018 (figshare 7012202)",https://doi.org/10.1038/nenergy.2017.110,"Lead-acid (Multiple, 4±6%). derived from the energy series with a constant C-rate (4.71 kW per kWh); not independent data"
